"","DATETIME","LEVEL_T1","LEVEL_T2","LEVEL_T3","LEVEL_T4","LEVEL_T5","LEVEL_T6","LEVEL_T7","PRESSURE_J280","PRESSURE_J269","PRESSURE_J300","PRESSURE_J256","PRESSURE_J289","PRESSURE_J415","PRESSURE_J302","PRESSURE_J306","PRESSURE_J307","PRESSURE_J317","PRESSURE_J14","PRESSURE_J422","FLOW_PU1","FLOW_PU2","FLOW_PU3","FLOW_PU4","FLOW_PU5","FLOW_PU6","FLOW_PU7","FLOW_PU8","FLOW_PU9","FLOW_PU10","FLOW_PU11","FLOW_V2","STATUS_PU1","STATUS_PU2","STATUS_PU3","STATUS_PU4","STATUS_PU5","STATUS_PU6","STATUS_PU7","STATUS_PU8","STATUS_PU9","STATUS_PU10","STATUS_PU11","STATUS_V2","ATT_FLAG"
"6602","2016-04-12 23:15:00",1.36,2.4,3.55,2.49,4.5,5.06,1.08,2.99,20.74,26.35,87.92,26.41,83.34,14.12,87.66,13.86,78.95,29.2,28.3,121.73,0,0,35.3,0,0,50.21,27.41,0,24.65,24.61,61.98,"True","False","False","True","False","False","True","True","False","True","True","True","True"
"6603","2016-04-12 23:30:00",1.25,2.34,3.66,2.44,4.5,5.18,1.3,2.99,20.67,26.28,87.97,26.35,83.29,14.07,87.6,13.8,79.03,29.14,28.24,121.86,0,0,35.24,0,0,50.2,27.41,0,24.59,24.55,61.76,"True","False","False","True","False","False","True","True","False","True","True","True","True"
"6604","2016-04-12 23:45:00",1.13,2.28,3.77,2.4,4.5,5.3,1.52,2.99,21.78,26.51,88.13,26.58,83.31,25.51,98.9,25.51,52.71,29.42,28.52,119.94,0,0,35.28,0,0,50.31,27.41,0,0,0,72.29,"True","False","False","True","False","False","True","True","False","False","False","True","True"
"6605","2016-04-13 00:00:00",1.06,2.24,3.88,2.35,4.5,5.17,0.97,2.99,20.89,26.31,88.76,26.37,85.28,14.3,86.46,14.04,80.45,29.15,28.25,121.48,0,0,34.79,0,0,49.19,28.44,0,24.1,24.06,63.48,"True","False","False","True","False","False","True","True","False","True","True","True","True"
"6606","2016-04-13 00:15:00",0.96,2.19,4,2.45,4.5,5.3,1.27,2.97,33.67,26.59,88.94,26.66,85.43,15.88,88.04,15.61,81.32,29.54,28.64,98.7,98.72,0,34.85,0,0,49.26,28.44,0,24.39,24.35,82.33,"True","True","False","True","False","False","True","True","False","True","True","True","True"
"6607","2016-04-13 00:30:00",0.92,2.18,4.12,2.54,4.5,5.43,1.58,2.97,33.9,26.59,89.02,26.66,85.5,26.36,98.37,26.36,55.03,29.56,28.66,98.27,98.29,0,34.81,0,0,49.22,28.44,0,0,0,85.4,"True","True","False","True","False","False","True","True","False","False","False","True","True"
"6608","2016-04-13 00:45:00",0.93,2.19,4.24,2.64,4.5,5.32,1.13,2.97,33.91,26.6,89.1,26.67,85.57,26.37,98.39,26.37,54.65,29.57,28.67,98.25,98.27,0,34.77,0,0,49.19,28.44,0,0,0,85.45,"True","True","False","True","False","False","True","True","False","False","False","True","True"
"6609","2016-04-13 01:00:00",0.91,2.18,4.36,2.73,4.5,5.38,1.22,2.97,34.24,26.61,88.93,26.68,86.8,20.47,107.86,20.2,85.15,29.58,28.68,97.64,97.66,0,34.88,0,0,48.54,11.89,0,24.7,24.66,86.8,"True","True","False","True","False","False","True","True","False","True","True","True","True"
"6610","2016-04-13 01:15:00",0.92,2.2,4.47,2.88,4.5,5.48,1.44,2.98,34.59,26.67,89.02,26.73,86.92,28.53,115.77,28.53,56.8,29.66,28.76,96.99,97.01,0,34.85,0,0,48.51,11.89,0,0,0,90.87,"True","True","False","True","False","False","True","True","False","False","False","True","True"
"6611","2016-04-13 01:30:00",0.97,2.22,4.59,3.03,4.5,5.38,1.11,2.98,34.62,26.69,89.1,26.76,87.03,28.58,115.81,28.58,56.51,29.68,28.78,96.94,96.96,0,34.82,0,0,48.46,11.89,0,0,0,90.99,"True","True","False","True","False","False","True","True","False","False","False","True","True"
"6612","2016-04-13 01:45:00",0.98,2.23,4.7,3.18,4.5,5.45,1.29,2.97,34.28,26.66,89.16,26.73,87.12,20.54,107.92,20.27,85.22,29.63,28.73,97.57,97.59,0,34.77,0,0,48.4,11.89,0,24.7,24.66,86.92,"True","True","False","True","False","False","True","True","False","True","True","True","True"
"6613","2016-04-13 02:00:00",0.98,2.24,4.81,3.32,4.5,5.5,1.78,2.98,34.68,26.76,92.32,26.82,86.45,28.34,113.46,28.34,57.43,29.73,28.83,96.83,96.85,0,32.91,0,0,48.8,15.5,0,0,0,90.99,"True","True","False","True","False","False","True","True","False","False","False","True","True"
